root,form,fv,class,deixis,tam
mɛð,kə̀-mɛ̀ð-ɔ́,aɔ,g,ventive,perfective
mɛð,lə̀-mɛ̀ð-ɔ́,aɔ,l,ventive,perfective
waj,wáj-í,ai,unmarked,itive,imperative
ib,ìb-ɔ́,ɔi,unmarked,ventive,imperative
vəlɛð,və́lɛ́ð-ɔ́,aɔ,unmarked,itive,imperative
vəlɛð,və̀lɛ̀ð-á,aɔ,unmarked,ventive,imperative
kəlc,kə́lc-í,ai,unmarked,itive,imperative
kəlc,kə̀lc-á,ai,unmarked,ventive,imperative
ud̪,l-à-úd̪-ɛ̀,ɔɔ,l,itive,perfective
t̪ɔt̪,l-à-t̪ɔ́t̪-ɛ̀,aɔ,l,itive,perfective
ap,l-à-áp-ɛ̀,aɔ,l,itive,perfective
aɾð,r-àɾð-ɔ́,aɔ,r,ventive,perfective
vɜɽ,ŋ-á-vɔ́ɽ-ɔ̀,ɔi,ŋ,itive,imperfective
ɾac,ɲ-á-ɾác-à,ai,ɲ,itive,imperfective
waj,t̪-á-wàj-í,ai,t̪,ventive,imperfective
ɟið,ð-á-ɟìð-í,ɔi,ð,ventive,imperfective
