stem,class,deixis,tam
mɛ́ð-ɔ́,unmarked,itive,imperative
mɛ̀ð-á,unmarked,ventive,imperative
ḿɛ́ð-ɔ́,unmarked,itive,imperative
m̀ɛ̀ð-á,unmarked,ventive,imperative
ɲə̀-mɛ̀ð-ɛ̀,ɲ,itive,dependent
ɲə̀-mɛ̀ð-ɔ́,ɲ,ventive,perfective
ɲə̀-mɛ̀ð-à,ɲ,ventive,dependent
ɲə̀-m̀ɛ̀ð-ɛ̀,ɲ,itive,dependent
ɲə̀-m̀ɛ̀ð-ɔ́,ɲ,ventive,perfective
ɲə̀-m̀ɛ̀ð-à,ɲ,ventive,dependent
ɲ-á-mɛ́ð-à,ɲ,itive,imperfective
ɲ-á-mɛ̀ð-ɔ́,ɲ,ventive,imperfective
ɲ-á-ḿɛ̀ð-à,ɲ,itive,imperfective
ɲ-á-m̀ɛ̀ð-ɔ́,ɲ,ventive,imperfective
ɲ-à-mɛ́ð-ɛ̀,ɲ,itive,perfective
ɲ-à-ḿɛ̀ð-ɛ̀,ɲ,itive,perfective
ŋə̀-mɛ̀ð-ɛ̀,ŋ,itive,dependent
ŋə̀-mɛ̀ð-ɔ́,ŋ,ventive,perfective
ŋə̀-mɛ̀ð-à,ŋ,ventive,dependent
ŋə̀-m̀ɛ̀ð-ɛ̀,ŋ,itive,dependent
ŋə̀-m̀ɛ̀ð-ɔ́,ŋ,ventive,perfective
ŋə̀-m̀ɛ̀ð-à,ŋ,ventive,dependent
ŋ-á-mɛ́ð-à,ŋ,itive,imperfective
ŋ-á-mɛ̀ð-ɔ́,ŋ,ventive,imperfective
ŋ-á-ḿɛ̀ð-à,ŋ,itive,imperfective
ŋ-á-m̀ɛ̀ð-ɔ́,ŋ,ventive,imperfective
ŋ-à-mɛ́ð-ɛ̀,ŋ,itive,perfective
ŋ-à-ḿɛ̀ð-ɛ̀,ŋ,itive,perfective
ðə́-mɛ́ð-á,ð,unmarked,infinitive
ðə́-ḿɛ́ð-á,ð,unmarked,infinitive
ðə̀-mɛ̀ð-ɛ̀,ð,itive,dependent
ðə̀-mɛ̀ð-ɔ́,ð,ventive,perfective
ðə̀-mɛ̀ð-à,ð,ventive,dependent
ðə̀-m̀ɛ̀ð-ɛ̀,ð,itive,dependent
ðə̀-m̀ɛ̀ð-ɔ́,ð,ventive,perfective
ðə̀-m̀ɛ̀ð-à,ð,ventive,dependent
ð-á-mɛ́ð-à,ð,itive,imperfective
ð-á-mɛ̀ð-ɔ́,ð,ventive,imperfective
ð-á-ḿɛ̀ð-à,ð,itive,imperfective
ð-á-m̀ɛ̀ð-ɔ́,ð,ventive,imperfective
ð-à-mɛ́ð-ɛ̀,ð,itive,perfective
ð-à-ḿɛ̀ð-ɛ̀,ð,itive,perfective
t̪ə̀-mɛ̀ð-ɛ̀,t̪,itive,dependent
t̪ə̀-mɛ̀ð-ɔ́,t̪,ventive,perfective
t̪ə̀-mɛ̀ð-à,t̪,ventive,dependent
t̪ə̀-m̀ɛ̀ð-ɛ̀,t̪,itive,dependent
t̪ə̀-m̀ɛ̀ð-ɔ́,t̪,ventive,perfective
t̪ə̀-m̀ɛ̀ð-à,t̪,ventive,dependent
t̪-á-mɛ́ð-à,t̪,itive,imperfective
t̪-á-mɛ̀ð-ɔ́,t̪,ventive,imperfective
t̪-á-ḿɛ̀ð-à,t̪,itive,imperfective
t̪-á-m̀ɛ̀ð-ɔ́,t̪,ventive,imperfective
t̪-à-mɛ́ð-ɛ̀,t̪,itive,perfective
t̪-à-ḿɛ̀ð-ɛ̀,t̪,itive,perfective
rə̀-mɛ̀ð-ɛ̀,r,itive,dependent
rə̀-mɛ̀ð-ɔ́,r,ventive,perfective
rə̀-mɛ̀ð-à,r,ventive,dependent
rə̀-m̀ɛ̀ð-ɛ̀,r,itive,dependent
rə̀-m̀ɛ̀ð-ɔ́,r,ventive,perfective
rə̀-m̀ɛ̀ð-à,r,ventive,dependent
r-á-mɛ́ð-à,r,itive,imperfective
r-á-mɛ̀ð-ɔ́,r,ventive,imperfective
r-á-ḿɛ̀ð-à,r,itive,imperfective
r-á-m̀ɛ̀ð-ɔ́,r,ventive,imperfective
r-à-mɛ́ð-ɛ̀,r,itive,perfective
r-à-ḿɛ̀ð-ɛ̀,r,itive,perfective
nə̀-mɛ̀ð-ɛ̀,n,itive,dependent
nə̀-mɛ̀ð-ɔ́,n,ventive,perfective
nə̀-mɛ̀ð-à,n,ventive,dependent
nə̀-m̀ɛ̀ð-ɛ̀,n,itive,dependent
nə̀-m̀ɛ̀ð-ɔ́,n,ventive,perfective
nə̀-m̀ɛ̀ð-à,n,ventive,dependent
n-á-mɛ́ð-à,n,itive,imperfective
n-á-mɛ̀ð-ɔ́,n,ventive,imperfective
n-á-ḿɛ̀ð-à,n,itive,imperfective
n-á-m̀ɛ̀ð-ɔ́,n,ventive,imperfective
n-à-mɛ́ð-ɛ̀,n,itive,perfective
n-à-ḿɛ̀ð-ɛ̀,n,itive,perfective
lə̀-mɛ̀ð-ɛ̀,l,itive,dependent
lə̀-mɛ̀ð-ɔ́,l,ventive,perfective
lə̀-mɛ̀ð-à,l,ventive,dependent
lə̀-m̀ɛ̀ð-ɛ̀,l,itive,dependent
lə̀-m̀ɛ̀ð-ɔ́,l,ventive,perfective
lə̀-m̀ɛ̀ð-à,l,ventive,dependent
l-á-mɛ́ð-à,l,itive,imperfective
l-á-mɛ̀ð-ɔ́,l,ventive,imperfective
l-á-ḿɛ̀ð-à,l,itive,imperfective
l-á-m̀ɛ̀ð-ɔ́,l,ventive,imperfective
l-à-mɛ́ð-ɛ̀,l,itive,perfective
l-à-ḿɛ̀ð-ɛ̀,l,itive,perfective
jə̀-mɛ̀ð-ɛ̀,j,itive,dependent
jə̀-mɛ̀ð-ɔ́,j,ventive,perfective
jə̀-mɛ̀ð-à,j,ventive,dependent
jə̀-m̀ɛ̀ð-ɛ̀,j,itive,dependent
jə̀-m̀ɛ̀ð-ɔ́,j,ventive,perfective
jə̀-m̀ɛ̀ð-à,j,ventive,dependent
j-á-mɛ́ð-à,j,itive,imperfective
j-á-mɛ̀ð-ɔ́,j,ventive,imperfective
j-á-ḿɛ̀ð-à,j,itive,imperfective
j-á-m̀ɛ̀ð-ɔ́,j,ventive,imperfective
j-à-mɛ́ð-ɛ̀,j,itive,perfective
j-à-ḿɛ̀ð-ɛ̀,j,itive,perfective
gə̀-mɛ̀ð-ɛ̀,g,itive,dependent
gə̀-mɛ̀ð-ɔ́,g,ventive,perfective
gə̀-mɛ̀ð-à,g,ventive,dependent
gə̀-m̀ɛ̀ð-ɛ̀,g,itive,dependent
gə̀-m̀ɛ̀ð-ɔ́,g,ventive,perfective
gə̀-m̀ɛ̀ð-à,g,ventive,dependent
g-á-mɛ́ð-à,g,itive,imperfective
g-á-mɛ̀ð-ɔ́,g,ventive,imperfective
g-á-ḿɛ̀ð-à,g,itive,imperfective
g-á-m̀ɛ̀ð-ɔ́,g,ventive,imperfective
g-à-mɛ́ð-ɛ̀,g,itive,perfective
g-à-ḿɛ̀ð-ɛ̀,g,itive,perfective
ɔ́ɾ́-ɔ́,unmarked,itive,imperative
ɔ́ɾ-ɔ́,unmarked,itive,imperative
ɔ̀ɾ̀-ɔ́,unmarked,ventive,imperative
ɔ̀ɾ-ɔ́,unmarked,ventive,imperative
ɲ-ɔ̀ɾ̀-ɛ̀,ɲ,itive,dependent
ɲ-ɔ̀ɾ̀-ɔ́,ɲ,ventive,perfective
ɲ-ɔ̀ɾ̀-ɔ̀,ɲ,ventive,dependent
ɲ-ɔ̀ɾ-ɛ̀,ɲ,itive,dependent
ɲ-ɔ̀ɾ-ɔ́,ɲ,ventive,perfective
ɲ-ɔ̀ɾ-ɔ̀,ɲ,ventive,dependent
ɲ-á-ɔ́ɾ̀-ɔ̀,ɲ,itive,imperfective
ɲ-á-ɔ́ɾ-ɔ̀,ɲ,itive,imperfective
ɲ-á-ɔ̀ɾ̀-ɔ́,ɲ,ventive,imperfective
ɲ-á-ɔ̀ɾ-ɔ́,ɲ,ventive,imperfective
ɲ-à-ɔ́ɾ̀-ɛ̀,ɲ,itive,perfective
ɲ-à-ɔ́ɾ-ɛ̀,ɲ,itive,perfective
ŋ-ɔ̀ɾ̀-ɛ̀,ŋ,itive,dependent
