form,class,deixis,tam
mɛð,unmarked,unmarked,unmarked
mɛ̀ð-á,unmarked,ventive,imperative
mɛ́ð-ɔ́,unmarked,itive,imperative
rə̀-mɛ̀ð-à,r,ventive,dependent
rə̀-mɛ̀ð-ɔ́,r,ventive,perfective
rə̀-mɛ̀ð-ɛ̀,r,itive,dependent
r-à-mɛ́ð-ɛ̀,r,itive,perfective
r-á-mɛ̀ð-ɔ́,r,ventive,imperfective
r-á-mɛ́ð-à,r,itive,imperfective
lə̀-mɛ̀ð-à,l,ventive,dependent
lə̀-mɛ̀ð-ɔ́,l,ventive,perfective
lə̀-mɛ̀ð-ɛ̀,l,itive,dependent
l-à-mɛ́ð-ɛ̀,l,itive,perfective
l-á-mɛ̀ð-ɔ́,l,ventive,imperfective
l-á-mɛ́ð-à,l,itive,imperfective
ŋə̀-mɛ̀ð-à,ŋ,ventive,dependent
ŋə̀-mɛ̀ð-ɔ́,ŋ,ventive,perfective
ŋə̀-mɛ̀ð-ɛ̀,ŋ,itive,dependent
ŋ-à-mɛ́ð-ɛ̀,ŋ,itive,perfective
ŋ-á-mɛ̀ð-ɔ́,ŋ,ventive,imperfective
ŋ-á-mɛ́ð-à,ŋ,itive,imperfective
ɲə̀-mɛ̀ð-à,ɲ,ventive,dependent
ɲə̀-mɛ̀ð-ɔ́,ɲ,ventive,perfective
ɲə̀-mɛ̀ð-ɛ̀,ɲ,itive,dependent
ɲ-à-mɛ́ð-ɛ̀,ɲ,itive,perfective
ɲ-á-mɛ̀ð-ɔ́,ɲ,ventive,imperfective
ɲ-á-mɛ́ð-à,ɲ,itive,imperfective
nə̀-mɛ̀ð-à,n,ventive,dependent
nə̀-mɛ̀ð-ɔ́,n,ventive,perfective
nə̀-mɛ̀ð-ɛ̀,n,itive,dependent
n-à-mɛ́ð-ɛ̀,n,itive,perfective
n-á-mɛ̀ð-ɔ́,n,ventive,imperfective
n-á-mɛ́ð-à,n,itive,imperfective
jə̀-mɛ̀ð-à,j,ventive,dependent
jə̀-mɛ̀ð-ɔ́,j,ventive,perfective
jə̀-mɛ̀ð-ɛ̀,j,itive,dependent
j-à-mɛ́ð-ɛ̀,j,itive,perfective
j-á-mɛ̀ð-ɔ́,j,ventive,imperfective
j-á-mɛ́ð-à,j,itive,imperfective
ðə̀-mɛ̀ð-à,ð,ventive,dependent
ðə̀-mɛ̀ð-ɔ́,ð,ventive,perfective
ðə̀-mɛ̀ð-ɛ̀,ð,itive,dependent
ðə́-mɛ́ð-á,ð,unmarked,infinitive
