nom.sg,nom.pl,acc.sg,acc.pl,translation,gloss,noun_class,root,part_of_speech,comment
ìcɔ̀,lʊ̀cɔ̀,,,badness/bad person (?),badness,k/l,ìcɔ̀,noun,
ìcə̀là,lə̀cə̀là,,,good person/people,good.person,k/l,ìcə̀là,noun,
ŋə̀cə̀là,,,,goodness,goodness,ŋ,ŋə̀cə̀là,noun,
,,ðìɲú,,something,something,,ðìɲú,noun,
ŋàɲà ŋâɲà,,,,grass,grass,,ŋàɲà,noun,
,,ɛ̀ŋná,,roof (=house?),roof,,ɛ̀ŋná,noun,
lə̀bú,,,,well,well,,lə̀bú,noun,
ðɔ́rndɛ̀,ɔ̀ɾndɛ̀,,,wheat (seed or plant),wheat,,ðɔ́rndɛ̀,noun,
lɔ̀n,ŋɔ̀n,,ŋɔ̀nà,sorghum (seed),sorghum,l/ŋ,lɔ̀n,noun,
ðɛ̀bɛ̀r,,,,wind,wind,,ðɛ̀bɛ̀r,noun,
mùðù,mùðù,muðɔ,,leopard,leopard,k/n,mùðù,noun,
l̀ná,ŋə̀ná,,ŋ̀ná,hut,hut,l/ŋ,l̀ná,noun,
ðɾɔ́,ìrɔ́,ðə̀rɔ́,,hair,hair,ð/j,ðɾɔ́,noun,
kúɽì,,,,forest,forest,k,kúɽì,noun,
ájà àíà,ájàŋá,ájáŋ̀,,mother,mother,k/l,ájà,noun,
ùɾì úɾí,lúɾí lúɾí,ùɾì,lùɾì,rat,rat,k/l,ùɾì,noun,
ðî ðíj̀,rî,ðíjɛ́,ríjɛ́,thorn,thorn,ð/r,ðî,noun,
ðô ðóẁ,rô róẁ,ðówɛ́ ðúwɛ́,rowɛ,stick (bamboo stick),stick,ð/r,ðô,noun,
âl ál̀,nâl,álɛ́,nálɛ́,"stone, grinding stone",stone,k/,âl,noun,
lɛ́ɲ,ŋɛ́ɲ,lɛ́ɲɛ́,ŋɛ́ɲɛ́,egg,egg,l/ŋ,lɛ́ɲ,noun,
ŋɛ́n,ɲɛ́n,ŋɛ́nɛ́,ɲɛ́nɛ́,dog,dog,ŋ/ɲ,ŋɛ́n,noun,
ŋáó,,ŋávɛ́,,water,water,ŋ,ŋáó,noun,
dún,,dúnŋù,,home,home,k,dún,noun,
ðé,ré,,,hand,hand,ð/r,ðé,noun,
ðár,jár,,,rope,rope,ð/j,ðár,noun,
lán,ŋán,,,"milk, drop of milk",milk,l/ŋ,lán,noun,
ɔ́j,láj,,,"bee, honey",bee/honey,k/l,ɔ́j,noun,
tá,ŋtá,,ŋ̀tá,head,head,l/ŋ,tá,noun,
ŋám,,,,spider web,spider.web,ŋ,ŋám,noun,
ɔ́rɔ̂ð,,ɔ́ɾɔ́ðɛ́,,curse,curse,k,ɔ́rɔ̂ð,noun,
ɛ́lê,nɛ́lê,ɛ́léɲɛ́ ɛ́lê,nɛ́lé nɛ́léɲé,"king, chief",king,k/n,ɛ́lê,noun,
ŋúɽî,ɲúɽî,ŋúɽíɲɛ́,ɲúɽíɲɛ́,axe,axe,ŋ/ɲ,ŋúɽî,noun,
rɔ́mɔ̂,ŋ́rɔ́mɔ̂,,,ram,ram,l/ŋ,rɔ́mɔ̂,noun,
ɲáŋgɔ̂,,,,Tira dance style,Tira.dance.style,ɲ,ɲáŋgɔ̂,noun,
ðɛ́ŋɛ́n,kàðɛ́ŋɛ́n,ðɛ́ŋɛ́ná,kàðɛ́ŋɛ́nɛ́,"sound, letter",sound,ð/l,ðɛ́ŋɛ́n,noun,
ácám,nácám,ácámá,nácámá,civet,civet,k/n,ácám,noun,
ámál,námál,ámálá ámál ámálɛ́ àmál,námál námálá,young man,young.man,k/n,ámál,noun,
lúmɔ́n,ŋúmɔ́n,lúmɔ́ná,ŋúmɔ́ná,piece of charcoal,charcoal.piece,l/ŋ,lúmɔ́n,noun,
lɔ́rɔ́,ŋɔ́rɔ́,lɔ́rá,ŋɔ́rá,back (body part),back,l/ŋ,lɔ́rɔ́,noun,
ɛ́ɾɛ́,nɛ́ɾɛ́,ɛ́ɾá,nɛ́ɾá,fence,fence,k/n,ɛ́ɾɛ́,noun,
lɔ́mɔ́n,ŋɔ́mɔ́n,lɔ́mɔ́nɛ́,ŋɔ́mɔ́nɛ́,day,day,l/ŋ,lɔ́mɔ́n,noun,
ðóɾó,óɾó,ðɔ́ɾɛ́,ɔ́ɾɛ́,support pole for roof,support.pole,ð/k,ðóɾó,noun,
ɜ́ɾú,nɜ́ɾú,ɛ́rɛ́,nɛ́ɾɛ́,water skin,waterskin,k/n,ɜ́ɾú,noun,
órá,ŋɔ̀rà,órɛ́,,child,child,k/ŋ,órá,noun,
ŋɔ́ðɔ́,ɲɔ́ðɔ́,ŋɔ́ðɛ́,,goat (male),billy.goat,ŋ/ɲ,ŋɔ́ðɔ́,noun,
ɛ́lɔ́,,ɛ́lɔ́ŋú,,God,God,k,ɛ́lɔ́(1),noun,
