root,part_of_speech,gloss,note
cʊ̀cù,adverb,suddenly/quickly/fast
nd̪ɔ̀bà,adverb,tomorrow
nd̪ɔ̀bàgɛ̀,adverb,tomorrow
ùnɛ́ɾɛ́,adverb,yesterday
càt̪á,adverb,today
nɛ̀(1),adposition,in
dɛ̀,adverb,NEG
àn,particle,FOC
nɛ̀(2),conjunction,and
t̪ɔ́wɜ̀nì,adverb,now
áá,interjection,no
áfàn,interjection,you.are.welcome
ɔ̀pí,interjection,thank.you
ðíd̪í,adposition,under
áò,adverb,how
ásá,particle,PARTICLE
tásá,adverbial_quantifier,all
ánó,particle,PARTICLE
ní,adverb,here
ùlùŋú,adverb,last.year
nɔ̀ŋnɔ̀,adverb,well
àvàn,adverbial_quantifier,very.much
kńnà,adverbial_quantifier,every
nǔr,adverb,outside.house
járà,particle,UNCERTAIN
ŋɛ́rɛ́ɡɛ̀,adverb,eveninɡ,settinɡ as adverb but might be noun

