verb_root,root_sense,root_fv
mɛð,plait,aɔ
ɔɾ,insult,ɔɔ
aɾ,aɾ,aɔ
duɾ,stop,ɔɔ
ad,touch,ɔi
adɔŋɔn,hold,ɔɔ
kəlc,spread,ai
waj,wash,ai
vɜɽ,return(transitive),ɔi
it̪,go,IRREG
ɛl,ɛl,IRREG
vəlɛð,pull,aɔ
dɔŋð,push,aɔ
abuð,dance,aɔ
kaɾ,break,ao
vaɾ,escape,aɔ
vrð,throw,ɔɔ
ur,climb.down,ɔu
id,fall,ɔu
bɔl,wrestle,au
ðiɲ(2),scare,ɔi
ðiɲ(1),fear,ɔɔ
ud,burn,ao
iɾdɛc,deceive,ɔi
amac,wait,ai
amiɲ,love,ai
avəðac,press,ai
kaɾc,look.for,ai
lac,shake,ai
lɛŋc,speak.to,ai
ləvc,steal,ai
ŋac,give,ai
ɔɽɟɛc,help,ai
uɽc,jump,ai
ɲɛlac,tickle,ai
ɾac,pour,ai
ib,marry,ɔi
kɛc,take,ɔi
ɔŋɔŋɔnij,help,ɔi
rlɛɲ,chase,ɔi
uɽiðið,mix,ɔi
utið,call,ɔi
vəlɛc,visit,ɔi
ircəc,teach/learn,ɔi
abrt̪,ride,aɔ
abot̪,climb.up,aɔ
aɽəŋat̪,fetch,aɔ
aleŋ,sing,aɔ
ap,carry,aɔ
burŋ,forget,aɔ
ɽiɲ,kill,aɔ
keɲ,shatter,aɔ
kɔt̪,braid,aɔ
leŋt̪,know,aɔ
lɔɽ,speak,aɔ
miɲ,exit,aɔ
m,take,aɔ
nɛð,refuse/hate,aɔ
ŋarð,tear,aɔ
n,listen,aɔ
nɔn,look,aɔ
ɔd,build,aɔ
ɔɽ,run,aɔ
ɛrd,dance,ao
ɾland,close,aɔ
r,stab,aɔ
t̪əv,slice,aɔ
t̪ɔɽ,write,aɔ
t̪ɔt̪,throw,aɔ
vɾað,sweep,aɔ
jɛð,bite,aɔ
j,eat,aɔ
ð,slice,aɔ
ŋaŋ,scratch,aɔ
amɔn,care,ɔɔ
ant̪,enter,ɔɔ
ɜðɜŋin,remember,ɔɔ
biɽ,hit,ɔɔ
ilɛð,buy/sell,ɔɔ
ind̪ɛt̪,find,ɔɔ
kið,open,ɔɔ
mut̪in,smell,ɔɔ
ɔŋɔŋɔn,rest,ɔɔ
p,hit,ɔɔ
t̪,drink,ɔɔ
tut,cough,ɔɔ
ud̪,kindle,ɔɔ
umɛð,count,ɔɔ
urmuð,laugh,ɔɔ
mut̪,sip,ɔɔ
aɽið,form,au
aŋ,see,au
aj,die,au
nd,sleep,ao
t̪(2),be.lost,au
var,run,au
ruŋ,wait,ɔu
abr,jump,ao
aɽ,put,ao
ɛɽð,ask,ao
aw,urinate,ao
tuð,rise,au
uɽið,return,ao
ɔrn,be.named,ɔɔ
laɽ,plough,ao
kablat̪,hide,ao
ŋal,yawn,ao
ɔð,grind,aɔ
piɽ,remove,aɔ
rd,have,aɔ
kɛɾ,destroy,aɔ
ij,beat,aɔ
avt̪,set.down,aɔ
mɛɾð,bite,aɔ
ɾɔð,cook,aɔ
aɾl,step.on,aɔ
avəl,lift,aɔ
adij,stay,aɔ
dɔɽðat̪,fix,aɔ
rn,swallow,aɔ
ɽot̪,cover,aɔ
kwɔt̪,repair,aɔ
kwɔð,sow/pierce,aɔ
laŋ,lay.egg,aɔ
ləŋ,give.birth,aɔ
ŋat̪,taste,aɔ
ɔbəð,shoot/rub,aɔ
uɾɛt̪,dig,ɔɔ
um,hurt,ɔɔ
eit̪,allow,ɔɔ
ðuɽ,breastfeed,ao
ɽaɲið,mourn,au
ut̪,choose,au
man,boil,au
ruð,sharpen,ɔɔ
vɛð,vomit,ɔɔ
aŋc,show,ɔi
bul,wrestle(transitive),ɔi
aŋiðɔŋin,think.about,ɔɔ
aɾt̪,tell,ɔɔ
eðin,happen,ɔɔ
kaɾn,be.called,ɔɔ
aɾð,shave,aɔ
ɟið,milk,ɔi
