,Tira orthography (singular form),Tira orthography (plural form),Tira orthography (singular object form),Tira orthography (plural object form),Translation equivalent,Have we recorded this one already?,In our database?,COMMENTS,Noun class (based on agreement),SG subject tone,SG subject form,Source for SG subject form,Transcription checked with recording?,Number of syllables of stem,PL subject form,Source for PL subject form,Transcription checked with recording?.1,SG object tone,SG object suffix,Stem tone change,Hiatus (stem-ACC),SG object form,Source for SG object form,Transcription checked with recording?.2,PL object form,Source for PL object form,Transcription checked with recording?.3,SG citation form,Source for SG citation form,Transcription checked with recording?.4,PL citation form,Source for PL citation form,Transcription checked with recording?.5,Gloss
0,,,,,badness/bad person (?),has gaps,,compare to 'bad',k/l,LL,ìtʃɔ̀,HH20230717-1,yes,2,lʊ̀tʃɔ̀,,,,,,,ìtʃɔ̀,,,lʊ̀tʃɔ̀,,,,,,,,,badness
1,,,,,good person/people,has gaps,,compare to 'good',k/l,LLL,ìtʃə̀là,HH20230717-1,yes,3,lə̀tʃə̀là,HH20230717-1,yes,,,,,,,,,,,,,,,,,good.person
2,,,,,goodness,has gaps,,compare to 'good',ŋ,LLL,ŋə̀tʃə̀là,HH20230717-1,yes,3,,,,,,,,,,,,,,,,,,,,goodness
3,lengen,lelen,lengen,lelen,mother,has gaps,check eaf file status,"inalienable noun; root+possessive. See also ""aya""",l/,,lɛŋɡ-,HH20210604,,,,,,,,,,líŋɡ-ɛ́n 'his mother',HH20211019,recheck,,,,,,,,,,mother
4,,,,,something,has gaps,,,,,,,,,,,,,,,,ðìɲú,HH20230619,,,,,,,,,,,something
5,aba,abanga,abangu,abangre,father,has gaps,check eaf file status,inalienable noun; root+possessive,ð/r,,ðɛt̪-,,,,rɛt̪-,,,,,,,,,,,,,,,,,,,father
6,,,,,grass,has gaps,,get this in carrier phrases,,,"ŋàɲà, ŋâɲà",HH20230717-1,,,,,,,,,,,,,,,,,,,,,,grass
7,,,,,roof (=house?),has gaps,,get this in carrier phrases,,,,,,,,,,,,,,ɛ̀ŋná,HH20230717-1,yes,,,,,,,,,,roof
8,lubu,,,,well,has gaps,,Compare to 'ball',,,lə̀bú,,,,,,,,,,,,,,,,,,,,,,,well
9,zornde,ornde,zornda,ornda,wheat (seed or plant),missing OBJ form,,check tone,,(L)HL,ðɔ́rndɛ̀,HH20230724,yes,2,ɔ̀ɾndɛ̀,HH20230103,,,,,,,,,,,,,,,,,,wheat
10,lon,ngon,lona,ngona,sorghum (seed),missing OBJ form,,,l/ŋ,L,lɔ̀n,HH20230724,yes,1,ŋɔ̀n,HH20230724,yes,,,,,,,,ŋɔ̀n-à,HH20230724,,,,,,,,sorghum
11,zeberr,no number distinction,,,wind,missing OBJ form,,,,,ðɛ̀βɛ̀r,HH20221227,,,,,,,,,,,,,,,,,,,,,,wind
12,muzu,nalmuzu,muzu,nalmuzu,leopard,needs object form in better carrier phrase (check mùðù VS mùðɔ̀),has gaps,recheck plural forms,k/n,LL,mùːðù,< HH08212020-2:04:27.1 >,yes,2,mùːðù,,,,,,,muð-ɔ,,,,,,mùːðù,< HH08212020-2:00:10.3 >,yes,mùːðù,,,leopard
13,emanen,lemanen,emanena,lemanena,her husband,no,,,,,,,,,,,,,,,,,HH20220220-1,,,,,,,,,,,her husband
14,aàwuà ~ awu ?,naàwuà?,,,drying rack,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
15,awu,naawua,awue,naawuae,drying rack,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
16,arrix/arriue,narrix,arra,narra,stool,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
17,aarix,naarix,aare,naare,belly,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
18,awe,nawe,aweng,naweng,rainy season,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
19,awurr,nawurr,awurre,nawurre,doorway,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
20,azi,nazi,aze,naze,crowd,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
21,azenyen,nazenyen,azenyene,nazenyene,time,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,time
22,bokaa,nbokaa,,,bird sp.,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
23,caya,nalcaya,caye,nacaye,finches,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
24,cuhq/zidii,nguhq/ridii,cqhe,nguhe,"anus, animal hole",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
25,ayean/ayien,nayean/nayien,ayeane,nayeane,hill,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
26,ehe,nahe,,,"interior, inside of",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
27,ehom,letom,ehome,letome,thief,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
28,ela,nela,ele,nele,"broken dish, tortoise shell",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
29,elx,nelx,ela,nela,armpit,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
30,erre,nerre,erreze,nerreze,compound,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
31,errvo,,,,smell,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
32,hapuàrr ,Nyapuarr,hapuarro,nyapuarro,little spark,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
33,heàn,nyen,heane,nyene,little dog,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
34,hez ~ hrez ~ hxrez?,,,,little cloth,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
35,hrez ~ hxrez?,nrez/nxrez,hreze/hxreze,nreze/nxreze,little palm,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
36,hilez ,nyilez,hileze,nyileze,little hoe,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
37,hïùloà,,,,dust,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
38,hïùyoà ,nyïùyoà ,,,spark,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
39,hxà ,,,,little hand,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
40,hxàli ~ hxàlx,,,,little chief,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
41,ibez?,,,,dry skin,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
42,idu,irrdu,zido,zirdo,fall,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
43,uriz,nuriz,urize,nurize,"tendon, vein",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
44,quapi/opiu,nopi ,quapa,nopa,veranda,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
45,isaam,nisaam,isaame,nisaame,neck,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
46,ziyu,iyu,,,intestine,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
47,laàtoàm,naàtoàm,laatoame,naatoame,dog tick,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
48,lam/lamra,ngam/ngamra,,,spider saliva,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
49,laawu/ngaawu,nyaawu,ngaawue,ngaawue,mosquito,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
50,,,,,waterhole,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
51,zxdx,xdx,zxda,xda,coconut tree,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
52,lngaaz,ingaaz,lngaaze,ingaaze,tooth,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
53,leny,ngeny,lenye,ngenye,penis,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,lɛ̀ɳ,HH20200917,,,,,
54,zq,rrq,zqe,rrqe,switch,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
55,leay,ngeay,leaye,ngeaye,eye,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
56,ngelaa,no plural form,,,"fat, oil, butter",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
57,lelaa,elaa,,,lump of fat,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
58,avi,navi,ave,nave,liver,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
59,loce,ngoce,loca,ngoca,beard,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
60,loal,ngoal,lolae,ngolae,"tear drop, tears",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
61,lomon/lenea,ngomon,lomone,ngomone,number,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
62,lon,ngon,lona,ngona,"crop, grain, seed",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
63,atim,natim,atima,natima,tick,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
64,zho,rrho,,,tamarind tree,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
65,lxarr,no plural form,,,grain soup ( sesame grain),no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
66,luco,nguco,,,salt,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
67,luli,nguli,lulinye,ngulinye,frog,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
68,lumu,ngumu,,,hedgehog,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
69,ngony,no plural form,ngonye,,saliva,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
70,lupihil,ngupihil,lupihila,ngupihila,stick,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,stick
71,lurro,ngurro,lurre,ngurre,testicle,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
72,lerrix,ngerrix,lerra,ngerra,thigh,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
73,luz,nguz,luze,nguze,dew,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
74,luz,nguz,luze,nguze,dew drop,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
75,ngal?,nyal?,,,bamboo stick,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Ngattu,Ngattunga,Ngattung,Ngattungerre,fourth born son,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
77,ngauz,no plural form,ngauze,,work,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
78,ngdiu?,nyadiu?,,,wine pot,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
79,ngihai,no plural form,ngihai,,death,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
80,Zxarr,no plural form,,,cream,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
81,ngili,no plural form,ngilinye,ngilinye,kingdom,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
82,ngiyol,nyiyol,,,"chick, male chicken",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
83,ngxàrr ,,,,little grain soup ( sesame grain soup),no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
84,no Tira word,,,,window,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,nyïù ?,hïù ?,,,"little thorn ( hïù  & zi are the same) - but I am not sure what ""nyïù "" means. ",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
86,ohddino,zohddino,,,facial marks,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
87,ol,lal,ole,lale,fly,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
88,oranu,loranu,oranu,loranu,difference,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
89,ozengen,nozengen,ozengene,nozengene,elephant,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
90,qcq,nqcq,qca,nqca,saddle,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
91,qcq,nqcq,qce,nqce,"shield, net",no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
92,raama,yaama,,,locust,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
93,zul ,rrul,,,hair parts ( that's correct),no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
94,ttum,no plural,ttume,,onion,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
95,ucul ,lcul ,uculo,lculo,stranger,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
96,uzul,nzul,uzule,nzule,forehead,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
97,qniz,lqniz,qnize,lqnize,orphan,no,,Transcription is from Guest; switch to Tira orthography,,,,,,,,,,,,,,,,,,,,,,,,,,
